entry_id,ticket_ref_id,source_field,text_content,sentiment,resolution_time_minutes
61,INC18279,resolution_notes,Access granted. Thank you for the prompt response.,Positive,1265
62,INC18280,short_description,Urgent: Salesforce Access Issue,Negative,262
63,INC18280,description,Frustrated with the constant issues with the keyboard.,Negative,262
64,INC18280,comments,Following up as requested.,Neutral,262
65,INC18280,comments,Gathering more information from user Tyler Carrillo.,Neutral,262
66,INC18280,comments,Reset password for Gregory Miller and provided temporary one.,Neutral,262
67,INC18280,resolution_notes,The new desk phone works great. Setup was smooth.,Positive,262
68,REQ51194,short_description,Software Installation Teams,Neutral,3429
69,REQ51194,description,Following up on previous ticket INC17725.,Neutral,3429
70,REQ51194,resolution_notes,Software installed and verified with user.,Neutral,3429
71,INC18281,short_description,Network Slow in Millershire,Negative,574
72,INC18281,description,Frustrated with the constant issues with the keyboard.,Negative,574
73,INC18281,comments,Ordered replacement laptop. ETA 2 days.,Neutral,574
74,INC18281,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,574
75,INC18281,resolution_notes,Great job on resolving the outage so fast!,Positive,574
76,REQ51195,short_description,Software Installation HR System,Neutral,3441
77,REQ51195,description,Password reset required for Jeffrey Smith's account.,Neutral,3441
78,REQ51195,resolution_notes,User Heidi Mahoney confirmed resolution.,Positive,3441
79,REQ51196,short_description,Password Reset,Neutral,429
80,REQ51196,description,Password reset required for Steven Weber's account.,Neutral,429
81,REQ51196,comments,Following up as requested.,Neutral,429
82,REQ51196,resolution_notes,Network configuration corrected by Security Ops.,Neutral,429
83,REQ51197,short_description,Information Request,Neutral,3567
84,REQ51197,description,Requesting information on how to configure MFA.,Neutral,3567
85,REQ51197,resolution_notes,Password reset completed. User able to login.,Neutral,3567
86,INC18282,short_description,Teams Down,Negative,399
87,INC18282,description,Error E6279 when trying to access the shared drive.,Negative,399
88,INC18282,comments,Attempted remote connection to user's machine. Failed.,Neutral,399
89,INC18282,comments,Assigned ticket to Network Team.,Neutral,399
90,INC18282,resolution_notes,Replaced faulty keyboard. Asset tag updated.,Neutral,399
91,INC18283,short_description,printer Broken,Negative,698
92,INC18283,description,My monitor is broken. Need a replacement ASAP.,Negative,698
93,INC18283,comments,Monitoring system performance after patch deployment.,Neutral,698
94,INC18283,comments,Assigned ticket to Server Support.,Neutral,698
95,INC18283,resolution_notes,Password reset completed. User able to login.,Neutral,698
96,INC18284,short_description,Login Problem Finance Tool,Neutral,215
97,INC18284,description,Frustrated with the constant issues with the keyboard.,Negative,215
98,INC18284,comments,Monitoring system performance after patch deployment.,Neutral,215
99,INC18284,comments,Ordered replacement docking station. ETA 2 days.,Neutral,215
100,INC18284,comments,Applied configuration change as per documentation.,Neutral,215
101,INC18284,resolution_notes,Network configuration corrected by Desktop Support.,Neutral,215
102,INC18285,short_description,Cannot Login to HR System,Negative,481
103,INC18285,description,Still waiting for an update on my issue from yesterday.,Negative,481
104,INC18285,comments,Escalating issue to Tier 3 support / Network Team.,Neutral,481
105,INC18285,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,481
106,REQ51198,short_description,Password Reset,Neutral,304
107,REQ51198,description,Inquiry about the status of upgrade project 'Grow Robust Action-Items'.,Neutral,304
108,REQ51198,comments,Can you please provide an estimated resolution time?,Neutral,304
109,REQ51198,resolution_notes,Access granted to VPN Client. User notified.,Neutral,304
110,INC18286,short_description,monitor Broken,Negative,1143
111,INC18286,description,Still waiting for an update on my issue from yesterday.,Negative,1143
112,INC18286,comments,Investigating network latency between East Robert and DC.,Neutral,1143
113,INC18286,comments,This impacts deadline 2025-04-10. Need resolution!,Negative,1143
114,INC18286,comments,Monitoring system performance after patch deployment.,Neutral,1143
115,INC18286,resolution_notes,Closed per user request.,Neutral,1143
116,REQ51199,short_description,Password Reset,Neutral,1566
117,REQ51199,description,Requesting access to VPN Client for new user Savannah Price.,Neutral,1566
118,REQ51199,resolution_notes,Finally working again after restart. Thanks!,Positive,1566
119,INC18287,short_description,Urgent: Salesforce Access Issue,Negative,658
120,INC18287,description,The provided solution did not work. Problem persists.,Negative,658
121,INC18287,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,658
122,INC18288,short_description,monitor Broken,Negative,1195
123,INC18288,description,This is unacceptable performance for HR System.,Negative,1195
124,INC18288,comments,Is there any further information needed from my side?,Neutral,1195
125,INC18288,resolution_notes,Thanks! SAP is working perfectly now.,Positive,1195
126,INC18289,short_description,Network Slow in Port Tracy,Negative,1286
127,INC18289,description,Still waiting for an update on my issue from yesterday.,Negative,1286
128,INC18289,comments,Is there any further information needed from my side?,Neutral,1286
129,INC18289,comments,Escalating issue to Tier 3 support / Security Ops.,Neutral,1286
130,INC18289,resolution_notes,The new laptop works great. Setup was smooth.,Positive,1286
131,REQ51200,short_description,Request for Finance Tool Access,Neutral,2855
132,REQ51200,description,VM provisioning request based on template 'Dev VM Template'.,Neutral,2855
133,REQ51200,resolution_notes,Network configuration corrected by Help Desk.,Neutral,2855
134,REQ51201,short_description,Password Reset,Neutral,3473
135,REQ51201,description,User Dr. Melissa Weaver reporting issue with keyboard at Justinmouth.,Neutral,3473
136,REQ51201,comments,Attempted remote connection to user's machine. Failed.,Neutral,3473
137,REQ51201,resolution_notes,User Ashley Mills confirmed issue resolved after clearing cache.,Neutral,3473
138,INC18290,short_description,Connectivity Error,Neutral,549
139,INC18290,description,My docking station is broken. Need a replacement ASAP.,Negative,549
140,INC18290,comments,Can you please provide an estimated resolution time?,Neutral,549
141,INC18290,comments,Assigned ticket to Desktop Support.,Neutral,549
142,INC18290,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,549
143,INC18291,short_description,Login Problem Teams,Neutral,1023
144,INC18291,description,Frustrated with the constant issues with the mouse.,Negative,1023
145,INC18291,comments,Just checking in on the status.,Neutral,1023
146,INC18291,resolution_notes,The new printer works great. Setup was smooth.,Positive,1023
147,INC18292,short_description,Login Problem HR System,Neutral,725
148,INC18292,description,Network connection keeps dropping in Sherryshire office.,Negative,725
149,INC18292,resolution_notes,"Excellent support, problem fixed.",Positive,725
150,INC18293,short_description,Connectivity Error,Neutral,218
151,INC18293,description,System crash on APP-GLASS-81. Lost work. Please investigate immediately.,Negative,218
152,INC18293,comments,Can you please provide an estimated resolution time?,Neutral,218
153,INC18293,comments,Just checking in on the status.,Neutral,218
154,INC18293,comments,Is anyone working on this??,Negative,218
155,INC18293,resolution_notes,Great job on resolving the outage so fast!,Positive,218
156,INC18294,short_description,Connectivity Error,Neutral,901
157,INC18294,description,The provided solution did not work. Problem persists.,Negative,901
158,INC18294,comments,Reset password for Justin Knight and provided temporary one.,Neutral,901
159,INC18294,comments,Applied configuration change as per documentation.,Neutral,901
160,INC18294,resolution_notes,The new laptop works great. Setup was smooth.,Positive,901
161,INC18295,short_description,Network Slow in North Juliemouth,Negative,1018
162,INC18295,description,Error W3927 when trying to access the shared drive.,Negative,1018
163,INC18295,comments,Following up as requested.,Neutral,1018
164,INC18295,comments,Investigating network latency between Christopherville and DC.,Neutral,1018
165,INC18295,resolution_notes,Great job on resolving the outage so fast!,Positive,1018
166,INC18296,short_description,Issue with docking station,Neutral,459
167,INC18296,description,Frustrated with the constant issues with the laptop.,Negative,459
168,INC18296,comments,Reset password for Javier Richardson and provided temporary one.,Neutral,459
169,INC18296,comments,Ordered replacement keyboard. ETA 2 days.,Neutral,459
170,INC18296,resolution_notes,User Breanna Burns confirmed resolution.,Positive,459
171,REQ51202,short_description,Information Request,Neutral,329
172,REQ51202,description,User Cathy Sanchez MD reporting issue with printer at Traceyside.,Neutral,329
173,REQ51202,resolution_notes,Software installed and verified with user.,Neutral,329
174,REQ51203,short_description,New keyboard Request,Neutral,2776
175,REQ51203,description,User Lauren Owens reporting issue with printer at Port Amandaville.,Neutral,2776
176,REQ51203,resolution_notes,Provided user with documentation link. Closing ticket.,Neutral,2776
177,INC18297,short_description,Cannot Login to Finance Tool,Negative,895
178,INC18297,description,Network connection keeps dropping in Navarroport office.,Negative,895
179,INC18297,comments,Gathering more information from user Travis Robinson.,Neutral,895
180,INC18297,comments,Assigned ticket to Server Support.,Neutral,895
181,INC18297,comments,Ordered replacement monitor. ETA 2 days.,Neutral,895
182,INC18297,resolution_notes,Problem solved after the steps you provided.,Positive,895
183,REQ51204,short_description,Information Request,Neutral,729
184,REQ51204,description,Need standard keyboard for employee starting next week.,Neutral,729
185,REQ51204,resolution_notes,Resolved by restarting the Internal Portal service on DB-MEMBER-23.,Neutral,729
186,INC18298,short_description,Salesforce Down,Negative,1026
187,INC18298,description,My desk phone is broken. Need a replacement ASAP.,Negative,1026
188,INC18298,resolution_notes,Problem solved after the steps you provided.,Positive,1026
189,REQ51205,short_description,Software Installation Salesforce,Neutral,2076
190,REQ51205,description,User Mary Reese reporting issue with mouse at East Donald.,Neutral,2076
191,REQ51205,comments,Applied configuration change as per documentation.,Neutral,2076
192,REQ51205,resolution_notes,Finally working again after restart. Thanks!,Positive,2076
193,INC18299,short_description,monitor Broken,Negative,557
194,INC18299,description,This is unacceptable performance for VPN Client.,Negative,557
195,INC18299,comments,Any update on this request?,Neutral,557
196,INC18299,comments,No progress reported yet.,Negative,557
197,INC18299,comments,Monitoring system performance after patch deployment.,Neutral,557
198,INC18299,resolution_notes,User Michael Williams confirmed resolution.,Positive,557
199,INC18300,short_description,Cannot Login to Finance Tool,Negative,417
200,INC18300,description,This is unacceptable performance for HR System.,Negative,417
201,INC18300,comments,Applied configuration change as per documentation.,Neutral,417
202,INC18300,resolution_notes,Access granted. Thank you for the prompt response.,Positive,417
203,INC18301,short_description,Network Slow in Stevenchester,Negative,1010
204,INC18301,description,My docking station is broken. Need a replacement ASAP.,Negative,1010
205,INC18301,comments,Escalating issue to Tier 3 support / Help Desk.,Neutral,1010
206,INC18301,comments,This is taking too long.,Negative,1010
207,INC18301,resolution_notes,Great job on resolving the outage so fast!,Positive,1010
208,INC18302,short_description,Cannot Login to SAP,Negative,241
209,INC18302,description,Error C1909 when trying to access the shared drive.,Negative,241
210,INC18302,resolution_notes,Great job on resolving the outage so fast!,Positive,241
211,INC18303,short_description,docking station Broken,Negative,624
212,INC18303,description,Cannot login to Outlook. Getting error W4667. Urgent!,Negative,624
213,INC18303,comments,Can you please provide an estimated resolution time?,Neutral,624
214,INC18303,comments,Is anyone working on this??,Negative,624
215,INC18303,resolution_notes,Issue resolved quickly. Appreciate the help from Desktop Support.,Positive,624
216,INC18304,short_description,Cannot Login to Finance Tool,Negative,209
217,INC18304,description,Cannot login to HR System. Getting error W441. Urgent!,Negative,209
218,INC18304,comments,Escalating issue to Tier 3 support / Security Ops.,Neutral,209
219,INC18304,comments,Any update on this request?,Neutral,209
220,INC18304,resolution_notes,Great job on resolving the outage so fast!,Positive,209
221,INC18305,short_description,Teams Down,Negative,425
222,INC18305,description,Frustrated with the constant issues with the desk phone.,Negative,425
223,INC18305,comments,Escalating issue to Tier 3 support / App Support Team.,Neutral,425
224,INC18305,comments,Investigating network latency between Carrberg and DC.,Neutral,425
225,INC18305,resolution_notes,Finally working again after restart. Thanks!,Positive,425
226,REQ51206,short_description,Information Request,Neutral,836
227,REQ51206,description,Inquiry about the status of upgrade project 'Target Impactful Communities'.,Neutral,836
228,REQ51206,resolution_notes,Access granted. Thank you for the prompt response.,Positive,836
229,INC18306,short_description,Cannot Login to Salesforce,Negative,140
230,INC18306,description,Still waiting for an update on my issue from yesterday.,Negative,140
231,INC18306,comments,Investigating network latency between North Frank and DC.,Neutral,140
232,INC18306,resolution_notes,Access granted. Thank you for the prompt response.,Positive,140
233,INC18307,short_description,Urgent: Outlook Access Issue,Negative,219
234,INC18307,description,Network connection keeps dropping in Jordanside office.,Negative,219
235,INC18307,comments,Assigned ticket to Help Desk.,Neutral,219
236,INC18307,comments,Any update on this request?,Neutral,219
237,INC18307,comments,Assigned ticket to Security Ops.,Neutral,219
238,INC18307,resolution_notes,"Excellent support, problem fixed.",Positive,219
239,INC18308,short_description,Login Problem VPN Client,Neutral,1316
240,INC18308,description,This is unacceptable performance for Teams.,Negative,1316
241,INC18308,comments,Any update on this request?,Neutral,1316
242,INC18308,comments,This impacts deadline 2025-04-08. Need resolution!,Negative,1316
243,INC18308,resolution_notes,"Excellent support, problem fixed.",Positive,1316
244,INC18309,short_description,Network Slow in Floydville,Negative,252
245,INC18309,description,The provided solution did not work. Problem persists.,Negative,252
246,INC18309,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,252
247,INC18309,comments,Reset password for Jessica Park and provided temporary one.,Neutral,252
248,INC18309,comments,Reset password for Ashley Randolph and provided temporary one.,Neutral,252
249,INC18309,resolution_notes,"Excellent support, problem fixed.",Positive,252
250,INC18310,short_description,HR System Down,Negative,987
251,INC18310,description,The provided solution did not work. Problem persists.,Negative,987
252,INC18310,comments,Attempted remote connection to user's machine. Failed.,Neutral,987
253,INC18310,resolution_notes,Access granted. Thank you for the prompt response.,Positive,987
254,INC18311,short_description,Cannot Login to VPN Client,Negative,509
255,INC18311,description,My monitor is broken. Need a replacement ASAP.,Negative,509
256,INC18311,resolution_notes,"Excellent support, problem fixed.",Positive,509
257,INC18312,short_description,Network Slow in East Brittany,Negative,963
258,INC18312,description,My monitor is broken. Need a replacement ASAP.,Negative,963
259,INC18312,comments,Attempted remote connection to user's machine. Failed.,Neutral,963
260,INC18312,comments,Just checking in on the status.,Neutral,963
261,INC18312,resolution_notes,"Excellent support, problem fixed.",Positive,963
262,INC18313,short_description,Connectivity Error,Neutral,437
263,INC18313,description,Cannot login to Teams. Getting error E4758. Urgent!,Negative,437
264,INC18313,comments,Can you please provide an estimated resolution time?,Neutral,437
265,INC18313,comments,This is taking too long.,Negative,437
266,INC18313,comments,Assigned ticket to Security Ops.,Neutral,437
267,INC18313,resolution_notes,The new laptop works great. Setup was smooth.,Positive,437
268,INC18314,short_description,Network Slow in Torrestown,Negative,278
269,INC18314,description,This is unacceptable performance for Outlook.,Negative,278
270,INC18314,comments,Following up as requested.,Neutral,278
271,INC18314,comments,Escalating issue to Tier 3 support / App Support Team.,Neutral,278
272,INC18314,comments,Any update on this request?,Neutral,278
273,INC18314,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,278
274,REQ51207,short_description,Information Request,Neutral,2892
275,REQ51207,description,Following up on previous ticket INC17058.,Neutral,2892
276,REQ51207,resolution_notes,Resolved by restarting the Teams service on APP-STANDARD-06.,Neutral,2892
277,INC18315,short_description,Issue with docking station,Neutral,562
278,INC18315,description,Error W6409 when trying to access the shared drive.,Negative,562
279,INC18315,resolution_notes,Finally working again after restart. Thanks!,Positive,562
280,INC18316,short_description,Network Slow in Nathanside,Negative,119
281,INC18316,description,Network connection keeps dropping in Crystaltown office.,Negative,119
282,INC18316,comments,Applied configuration change as per documentation.,Neutral,119
283,INC18316,comments,Is anyone working on this??,Negative,119
284,INC18316,resolution_notes,User Elizabeth Adams confirmed resolution.,Positive,119
285,INC18317,short_description,Issue with mouse,Neutral,1249
286,INC18317,description,Still waiting for an update on my issue from yesterday.,Negative,1249
287,INC18317,comments,Ordered replacement desk phone. ETA 2 days.,Neutral,1249
288,INC18317,resolution_notes,Issue resolved quickly. Appreciate the help from Desktop Support.,Positive,1249
289,INC18318,short_description,monitor Broken,Negative,1011
290,INC18318,description,Error C7504 when trying to access the shared drive.,Negative,1011
291,INC18318,comments,Gathering more information from user Jose Morales.,Neutral,1011
292,INC18318,resolution_notes,Problem solved after the steps you provided.,Positive,1011
293,REQ51208,short_description,Software Installation Salesforce,Neutral,4243
294,REQ51208,description,Password reset required for Shannon Moore's account.,Neutral,4243
295,REQ51208,comments,Gathering more information from user David Davis.,Neutral,4243
296,REQ51208,resolution_notes,Replaced faulty mouse. Asset tag updated.,Neutral,4243
297,REQ51209,short_description,New docking station Request,Neutral,3656
298,REQ51209,description,User Jose West reporting issue with desk phone at North Steven.,Neutral,3656
299,REQ51209,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,3656
300,REQ51209,resolution_notes,Network configuration corrected by Desktop Support.,Neutral,3656
301,REQ51210,short_description,Password Reset,Neutral,2871
302,REQ51210,description,User Alyssa Mclaughlin reporting issue with docking station at New Jamesside.,Neutral,2871
303,REQ51210,comments,Applied configuration change as per documentation.,Neutral,2871
304,REQ51210,resolution_notes,Resolved by restarting the Teams service on DC-SING-49.,Neutral,2871
305,INC18319,short_description,Network Slow in Santiagomouth,Negative,810
306,INC18319,description,VPN Client is extremely slow today. Taking minutes to load.,Negative,810
307,INC18319,comments,Escalating issue to Tier 3 support / Server Support.,Neutral,810
308,INC18319,comments,Is anyone working on this??,Negative,810
309,INC18319,comments,Assigned ticket to Network Team.,Neutral,810
310,INC18319,resolution_notes,Issue resolved quickly. Appreciate the help from Desktop Support.,Positive,810
311,REQ51211,short_description,Password Reset,Neutral,3725
312,REQ51211,description,Requesting information on how to configure MFA.,Neutral,3725
313,REQ51211,comments,Ordered replacement docking station. ETA 2 days.,Neutral,3725
314,REQ51211,resolution_notes,Great job on resolving the outage so fast!,Positive,3725
315,REQ51212,short_description,Software Installation VPN Client,Neutral,597
316,REQ51212,description,Inquiry about the status of upgrade project 'Integrate Collaborative Experiences'.,Neutral,597
317,REQ51212,comments,Just checking in on the status.,Neutral,597
318,REQ51212,resolution_notes,Great job on resolving the outage so fast!,Positive,597
319,INC18320,short_description,Network Slow in Gonzalesstad,Negative,777
320,INC18320,description,My mouse is broken. Need a replacement ASAP.,Negative,777
321,INC18320,comments,Just checking in on the status.,Neutral,777
322,INC18320,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,777
323,INC18320,resolution_notes,"Excellent support, problem fixed.",Positive,777
324,REQ51213,short_description,Password Reset,Neutral,2454
325,REQ51213,description,Password reset required for Karen Stark DVM's account.,Neutral,2454
326,REQ51213,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,2454
327,INC18321,short_description,Connectivity Error,Neutral,1035
328,INC18321,description,Frustrated with the constant issues with the monitor.,Negative,1035
329,INC18321,resolution_notes,Great job on resolving the outage so fast!,Positive,1035
330,INC18322,short_description,Login Problem Salesforce,Neutral,582
331,INC18322,description,My laptop is broken. Need a replacement ASAP.,Negative,582
332,INC18322,comments,Assigned ticket to Desktop Support.,Neutral,582
333,INC18322,comments,Investigating network latency between Soliston and DC.,Neutral,582
334,INC18322,comments,Applied configuration change as per documentation.,Neutral,582
335,INC18322,resolution_notes,Great job on resolving the outage so fast!,Positive,582
336,REQ51214,short_description,Information Request,Neutral,2155
337,REQ51214,description,Requesting access to Outlook for new user Jason Kline.,Neutral,2155
338,REQ51214,comments,Can you please provide an estimated resolution time?,Neutral,2155
339,REQ51214,resolution_notes,The new monitor works great. Setup was smooth.,Positive,2155
340,INC18323,short_description,Urgent: Internal Portal Access Issue,Negative,863
341,INC18323,description,System crash on WEB-REASON-07. Lost work. Please investigate immediately.,Negative,863
342,INC18323,resolution_notes,User Jessica Harrison confirmed resolution.,Positive,863
343,INC18324,short_description,Network Slow in South Kimbury,Negative,454
344,INC18324,description,VPN Client is extremely slow today. Taking minutes to load.,Negative,454
345,INC18324,resolution_notes,Issue resolved quickly. Appreciate the help from Desktop Support.,Positive,454
346,INC18325,short_description,Urgent: Internal Portal Access Issue,Negative,919
347,INC18325,description,Salesforce is extremely slow today. Taking minutes to load.,Negative,919
348,INC18325,comments,Any update on this request?,Neutral,919
349,INC18325,comments,Escalating issue to Tier 3 support / Server Support.,Neutral,919
350,INC18325,comments,Any update on this request?,Neutral,919
351,INC18325,resolution_notes,"Excellent support, problem fixed.",Positive,919
352,INC18326,short_description,Issue with mouse,Neutral,43
353,INC18326,description,Frustrated with the constant issues with the printer.,Negative,43
354,INC18326,comments,Ordered replacement docking station. ETA 2 days.,Neutral,43
355,INC18326,resolution_notes,User David Chung confirmed resolution.,Positive,43
356,INC18327,short_description,Connectivity Error,Neutral,903
357,INC18327,description,The provided solution did not work. Problem persists.,Negative,903
358,INC18327,comments,Ordered replacement laptop. ETA 2 days.,Neutral,903
359,INC18327,comments,Is there any further information needed from my side?,Neutral,903
360,INC18327,resolution_notes,Problem solved after the steps you provided.,Positive,903
361,INC18328,short_description,Network Slow in Elizabethhaven,Negative,46
362,INC18328,description,Network connection keeps dropping in East Johnny office.,Negative,46
363,INC18328,comments,Investigating network latency between North Emily and DC.,Neutral,46
364,INC18328,comments,Monitoring system performance after patch deployment.,Neutral,46
365,INC18328,comments,Applied configuration change as per documentation.,Neutral,46
366,INC18328,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,46
367,REQ51215,short_description,Request for Outlook Access,Neutral,3722
368,REQ51215,description,Need standard printer for employee starting next week.,Neutral,3722
369,REQ51215,resolution_notes,Resolved by restarting the Outlook service on APP-CLAIM-88.,Neutral,3722
370,REQ51216,short_description,Request for Finance Tool Access,Neutral,1344
371,REQ51216,description,Inquiry about the status of upgrade project 'Leverage Efficient Applications'.,Neutral,1344
372,REQ51216,resolution_notes,The new printer works great. Setup was smooth.,Positive,1344
373,INC18329,short_description,Network Slow in Oliviamouth,Negative,717
374,INC18329,description,System crash on DB-COVER-40. Lost work. Please investigate immediately.,Negative,717
375,INC18329,comments,Can you please provide an estimated resolution time?,Neutral,717
376,INC18329,resolution_notes,Thanks! HR System is working perfectly now.,Positive,717
377,INC18330,short_description,Login Problem Teams,Neutral,1267
378,INC18330,description,Still waiting for an update on my issue from yesterday.,Negative,1267
379,INC18330,comments,Following up as requested.,Neutral,1267
380,INC18330,comments,Is there any further information needed from my side?,Neutral,1267
381,INC18330,comments,Assigned ticket to Network Team.,Neutral,1267
382,INC18330,resolution_notes,Problem solved after the steps you provided.,Positive,1267
383,INC18331,short_description,Internal Portal Down,Negative,246
384,INC18331,description,Salesforce is extremely slow today. Taking minutes to load.,Negative,246
385,INC18331,comments,Investigating network latency between Lake Lisaberg and DC.,Neutral,246
386,INC18331,comments,Can you please provide an estimated resolution time?,Neutral,246
387,INC18331,comments,Any update? Still blocked.,Negative,246
388,INC18331,resolution_notes,User Russell Rosales confirmed resolution.,Positive,246
389,INC18332,short_description,monitor Broken,Negative,276
390,INC18332,description,This is unacceptable performance for VPN Client.,Negative,276
391,INC18332,resolution_notes,User Richard Sutton confirmed resolution.,Positive,276
392,INC18333,short_description,Urgent: SAP Access Issue,Negative,563
393,INC18333,description,My printer is broken. Need a replacement ASAP.,Negative,563
394,INC18333,comments,Reset password for David Alexander and provided temporary one.,Neutral,563
395,INC18333,comments,Is anyone working on this??,Negative,563
396,INC18333,resolution_notes,Issue resolved quickly. Appreciate the help from Security Ops.,Positive,563
397,REQ51217,short_description,Request for Teams Access,Neutral,1669
398,REQ51217,description,Hardware refresh needed for Joel Winters. See attached list.,Neutral,1669
399,REQ51217,comments,Reset password for Brandon Briggs and provided temporary one.,Neutral,1669
400,REQ51217,resolution_notes,Problem solved after the steps you provided.,Positive,1669
401,INC18334,short_description,Cannot Login to HR System,Negative,406
402,INC18334,description,This is unacceptable performance for VPN Client.,Negative,406
403,INC18334,resolution_notes,Thanks! SAP is working perfectly now.,Positive,406
404,REQ51218,short_description,Password Reset,Neutral,1148
405,REQ51218,description,Submitting request for software license for Outlook.,Neutral,1148
406,REQ51218,resolution_notes,The new laptop works great. Setup was smooth.,Positive,1148
407,INC18335,short_description,Cannot Login to VPN Client,Negative,1421
408,INC18335,description,Still waiting for an update on my issue from yesterday.,Negative,1421
409,INC18335,comments,Is there any further information needed from my side?,Neutral,1421
410,INC18335,resolution_notes,The new laptop works great. Setup was smooth.,Positive,1421
411,INC18336,short_description,Cannot Login to Salesforce,Negative,1370
412,INC18336,description,Network connection keeps dropping in Mitchellstad office.,Negative,1370
413,INC18336,comments,Monitoring system performance after patch deployment.,Neutral,1370
